이름,대표,소재지,번호
에이스공인중개사사무소,정무찬,"서울특별시 서초구 방배동 방배천로4안길 87 (방배동,1층)",02-595-5252/010-5473-7815
롯데캐슬플러스공인중개사사무소,김후완,서울특별시 서초구 방배동 424-28 방배롯데캐슬아르떼 상가B동 1층 102호,02-522-0080/010-6310-3000
롯데캐슬탑부동산공인중개사사무소,조인선,서울시 서초구 방배동 424-28 방배롯데캐슬아르떼상가 B동 103호,02-588-9004
우미숙부동산중개,우미숙,서울특별시 서초구 방배2동 440-5,02-582-0046
아르떼공인중개사사무소,구현자,서울 서초구 방배2동 437-12,02-523-1155/010-2061-8042
방배롯데캐슬공인중개사사무소,한경숙,서울특별시 서초구 방배동 424-28 방배롯데캐슬아르떼 상가B동 102호,02-525-8981/010-5051-3255
명가공인중개사사무소,장범호,"서울특별시 서초구 방배동 437-14, 1층",02-523-6000/010-7210-0815
금빛공인중개사사무소,박재운,서울특별시 서초구 방배동 426-1 방배 노블루체 서리풀 101동 104호,02-597-0031/010-3308-2888
도시도공인중개사사무소,이경자,서울시 서초구 방배동 437-27 1층(101호),02-585-5945/010-8456-3741
롯데캐슬선운공인중개사사무소,강신우,서울특별시 서초구 방배동 424-28 방배롯데캐슬아르떼 상가 B동 107호,02-587-1245
축복부동산공인중개사사무소,양현숙,서울특별시 서초구 방배동 426-21 101호,02-588-0900/010-8912-9715
강남공인중개사사무소,심봉관,서울특별시 서초구 방배동 458-26 1층,02-582-1234/010-5544-2456
5구역공인중개사사무소,김근섭,서울시 서초구 방배동 424-28 방배롯데캐슬아르떼 C동 103호,02-588-4424
네오비부동산중개법인,이명숙,서울특별시 서초구 방배동 424-28 방배롯데캐슬아르떼 상가A동 106호,02-525-9400
조은공인중개사사무소,정순자,서울시 서초구 방배동 436-8 홍성빌 101호,02-582-0068
e삼성공인중개사사무소,조예진,서울시 서초구 방배동 437-13 1층[102호],02-582-8289/010-2006-1626
부동산재테크공인중개사사무소,최철식,서울 서초구 방배동 437-15 이수빌딩 1층,02-584-5008/010-3618-7711
주식회사 이엠부동산중개법인,허은미,서울특별시 서초구 방배동 424-28 방배롯데캐슬아르떼 상가B동 105호(1호),02-3473-3330/010-9970-3313
봄날부동산공인중개사사무소,양현화,서울특별시 서초구 방배동 439-1,02-522-3456/010-6776-8249
인연공인중개사사무소,이현필,서울시 서초구 방배동 456-4 1층(102호),02-585-1792/010-8651-8471
아르떼우리공인중개사사무소,최윤정,서울시 서초구 방배동 424-28 방배롯데캐슬아르떼 상가B동 106호,02-587-0065/010-9201-9058
방배이수부동산중개,배숙,서울특별시 서초구 방배동 456-5 1층,02-525-2453/010-5646-6244
더엠부동산중개,임상빈,서울시 서초구 방배동 439-1 신진오피스빌딩 1층,02-588-8845
부동산중개사람,박신해,서울특별시 서초구 방배동 458-1 1층,02-522-4417/010-3222-4417
부동산중개사람,박신해,서울특별시 서초구 방배2동 427-1 롯데캐슬아르떼상가 B동 107호,02-522-2241
롯데캐슬황금공인중개사사무소,윤석현,서울시 서초구 방배동 456-15 1층[104호],02-586-8949
씨유공인중개사사무소,박서영,서울시 서초구 방배동 436-4 1층,02-582-3370/010-2203-2612
고소영공인중개사사무소,고소영,서울시 서초구 방배동 954-26 1층,010-3231-4758
정공인중개사사무소,박희정,서울시 서초구 방배동 954-28 103호,02-522-8289/010-522-8289
금터공인중개사사무소,최병윤,서울특별시 서초구 방배동 954-26,02-507-4466
대성공인중개사사무소,신인영,서울특별시 서초구 방배2동 951-31 1층,02-525-4904
이레공인,이희례,서울 서초구 방배4동 1847,02-534-8808/016-349-2602
로얄공인중개사사무소,최석주,서울시 서초구 방배동 951-20 1층,02-534-1534
뉴이수역부동산중개,양영모,서울특별시 서초구 방배동 3016 1층,02-594-8944/010-8568-0584
서초공인중개사,송지훈,서울 서초구 방배2동 951-25,02-585-2235/010-8943-9040
글로벌공인중개사무소,장애진,서울 서초구 방배4동 현대아파트 a상가 103호,02-533-8787/010-3194-7138
장원공인중개사사무소,김연태,서울 서초구 방배동 1344번지,02-3481-6000/010-2601-3920
현대공인중개사사무소,김재구,서울 서초구 서초대로1길 14 1층(방배동),02-593-8373/010-8481-8982
디오슈페리움공인,김건욱,서울 서초구 방배동 3001-2 디오슈페리움1차 비-113호,02-3483-2222
씨엘 공인중개사 사무소,이달임,서울특별시 서초구 방배동 1715 1층,02-584-3003/010-3894-3832
승리공인중개사사무소,이인자,서울 서초구 방배동 866-20 방배대우디오빌 상가 105호,02-535-8980/010-4525-0438
신현대공인중개사사무소,송향희,서울 서초구 방배4동 3016번지 현대1차상가 앞,02-3476-8949/010-3747-0532
방배디에이치부동산공인중개사사무소,정석환,서울시 서초구 방배동 951-30 1층,02-583-9997/010-4297-5475
으뜸공인중개사사무소,정상봉,서울특별시 서초구 방배동 1427 1층(101호),02-522-8255/010-5286-7895
이대우공인중개사사무소,이대우,서울 서초구 방배4동 3001-2 방배디오슈페리움1차108호,02-3472-8259/010-5125-3567
대우리츠공인중개사사무소,오준영,서울특별시 서초구 방배동 3001-1 디오슈페리움2 B2F02호,02-3483-2244/010-2272-5702
제이수공인중개사사무소,이준수,서울특별시 서초구 방배동 864-18 101호,02-535-2449/010-2753-1741
OK공인중개사,황영철,서울 서초구 방배4동 1756 1층,02-3482-4080/010-6734-1414
OK공인중개사,황영철,서울 서초구 방배4동 1756 1층,02-594-8944/010-2450-8944
이수역공인중개사사무소,최희상,서울특별시 서초구 방배동 3016 1층,02-594-8944/010-2450-8944
이수역공인중개사사무소,김영미,서울특별시 서초구 방배동 1460 1층,02-594-7789/010-7728-9448
서울로이어공인중개사사무소,김성민,서울시 서초구 방배동 866-10 방배마에스트로 1동 203호,02-532-3570/010-4557-6216
서초로이부동산중개법인주식회사,오재영,서울특별시 서초구 방배동 954-37 1층,02-2135-8380
강남kr부동산,김낙흠,서울 서초구 방배동 866-20 방배대우디오빌103호,02-543-8989/010-4257-6957
행운부동산중개법인,엄춘식,서울특별시 서초구 방배4동 3000-1 한신휴플러스 103호,02-591-8849/--
제일공인중개사사무소,강석규,서울특별시 서초구 방배동 1875 1층,02-3477-1333/010-3248-4453
제일공인중개사사무소,강석규,서울특별시 서초구 방배동 1875 1층,02-3476-0555
가온공인중개사사무소,최현태,서울시 서초구 방배동 828-28 102호,02-594-0610
연세부동산중개사무소,유선호,"서울특별시 서초구 서초대로7길 38 (방배동, 1층)",--
금정공인중개사사무소,심정희,서울시 서초구 방배동 867-1 1층,02-533-3988/010-7734-1457
우리공인중개사사무소,김성철,서울 서초구 방배동 895-10,02-584-8383/010-8947-4914
우리별부동산공인중개사사무소,박혜정,서울시 서초구 방배동 867-29 1층,02-584-8383
강남황금공인중개사사무소,이명구,"서울 서초구 방배중앙로 81 (방배동,1층)",02-3477-8944/010-3001-8630
서울부동산공인중개새사무소,조남철,서울시 서초구 방배동 867-28 1층,02-535-7008
서울부동산공인중개새사무소,조남철,서울시 서초구 방배동 867-28 1층,02-535-7008
동서부동산중개인사무소,송성석,서울특별시 서초구 방배동 950-14,02-585-9040/010-8943-9040
봄날공인중개사사무소,권형윤,서울시 서초구 방배동 862-1 102호,02-537-0489
(주)코브릿지부동산중개,김철수,"서울시 서초구 서초대로 35,1층 (방배동)",02-592-0021/010-5577-9124
방배재테크공인중개사사무소,이정규,서울 서초구 방배4동 현대아파트 1344번지 방배1차 현대아파트 상가 a동 105호,02-532-2484/010-3660-2527
연세공인중개사사무소,박선희,서울특별시 서초구 방배동 1344 방배1차현대아파트 상가비동 106호,02-6949-5566/010-4932-7820
연세공인중개사사무소,정병주,서울특별시 서초구 방배동 2233 방배3차현대홈타운 1층 101호,02-536-6620/010-8211-7848
삼성공인중개사사무소,최원웅,"서울특별시 서초구 방배4동 825-1, 1층",02-3478-7388/010-5237-9437
한국부동산공인중개사사무소,김훈민,서울특별시 서초구 방배동 2106 1층,02-599-5951/010-9308-4324
웰컴공인중개사사무소,김태형,서울시 서초구 방배동 2270-2 1층,02-595-5229/010-9011-5229
현대공인중개사사무소,신재식,서울특별시 서초구 방배동 2123,02-599-6363
미래공인중개사사무소,정미숙,서울시 서초구 방배동 2106 1층,02-532-8999/010-8863-6829
대양공인중개사,이길수,서울 서초구 방배동 2112,02-536-8945/010-4292-9120
청송공인중개사사무소,김지영,서울시 서초구 방배동 784-16 1층,02-532-4106/010-8950-2358
인복공인중개사사무소,최은정,서울시 서초구 방배동 2106 1층,02-599-5951/010-5363-7878
인복공인중개사사무소,최은정,서울시 서초구 방배동 2106 1층,02-599-5951/010-5363-7878
다인공인중개사사무소,임금자,서울 서초구 방배4동 1344 현대아파트 b상가 105호,02-535-8955/010-2220-8955
쌍용공인중개사사무소,홍신철,서울특별시 서초구 방배동 783-17 다올빌딩 1층,02-534-5001/010-2622-6475
방배공인중개사사무소,장효선,서울시 서초구 방배동 788-60 1층,02-592-8944/010-5849-3833
태인공인중개사사무소,김강옥,서울시 서초구 방배동 2106,02-592-4989/010-3847-7583
서울공인중개사사무소,안영일,서울 서초구 방배동 2001 현대2차홈타운아파트상가 102호,02-533-1515/010-8535-1515
굿모닝공인,이석정,서울 서초구 방배1동 1344번지 현대1차 B상가 101호,02-533-8289/011-720-0315
굿모닝공인중개사사무소,우현식,서울특별시 서초구 방배동 1344 방배1차현대아파트 B상가 101호,02-534-4321/010-2898-5650
대한공인중개사사무소,한은정,서울시 서초구 방배동 1344 방배1차현대아파트상가 비동 104호,02-534-4446/010-7353-4573
타운공인중개사사무소,박선,서울특별시 서초구 방배동 2001 현대 홈타운2차 단지내상가 101호,02-591-5500/010-2772-1031
다원공인중개사사무소,안지희,서울특별시 서초구 방배동 2001 방배2차현대홈타운 상가동 104호,02-535-1118/010-3889-2300
더앨리공인중개사사무소,구공주,서울특별시 서초구 방배동 831-2 1층,010-6655-5445/010-6655-5445
형제부동산공인중개사사무소,김건하,서울시 서초구 방배동 828-8 1층,02-532-1658/010-4590-7876
SK공인중개사사무소,김영희,"서울 서초구 방배로33길 9 (방배동,1층)",02-595-1089/011-325-9122
삼성부동산중개사무소,이계출,서울시 서초구 방배동 815-11,02-599-2800
부자공인중개사사무소,박형숙,서울시 서초구 방배동 822-16 제네시스빌 101호,02-532-1366/010-2339-7374
주은공인중개사사무소,명여경,서울시 서초구 방배동 830-2 1층,02-536-8977/010-2251-1825
지비오공인중개사사무소,최기철,서울시 서초구 방배동 790-10 1층,02-535-3325/010-4131-7263
대박부동산중개,김은상,서울시 서초구 방배동 830-4 2층,02-532-1020/010-2255-2772
르호봇공인중개사사무소,김해화,서울특별시 서초구 방배동 831-19 102호,02-532-8833/010-2923-7793
포시즌공인중개사사무소,최한권,서울특별시 서초구 방배4동 814-5,02-534-1919/010-7302-1000
라온씨티부동산중개,이형숙,서울시 서초구 방배동 815-35 1층,02-532-2450
허브공인중개사사무소,허부덕,서울시 서초구 방배동 856-41 1층,02-534-8549/010-2744-3059
윌공인중개사사무소,김춘수,"서울특별시 서초구 방배동 856-41,1층",02-565-4241
조이공인중개사사무소,조재후,"서울특별시 서초구 방배동 816-1 방배한신트리플 1층 37호,38호",02-536-6668/010-4446-1430
캐슬공인중개사,한양환,서울시 서초구 방배동 779-2 1층.103호,02-532-8603
제일공인중개사사무소,권태균,서울시 서초구 방배동 763-17 1층,02-599-2101/010-9698-3994
백배공인중개사사무소,김영락,서울특별시 동작구 동작동 102-34 지1층,02-532-3610/010-5353-6615
현대공인중개사사무소,조병권,서울시 서초구 방배동 765-30 1층1호,02-3477-1310/010-2625-9444
방배조은부동산중개,이지민,서울특별시 서초구 방배동 765-30 1호,02-537-3313/010-7934-3886
방배조은부동산중개,차만갑,서울 서초구 방배동 769-1,02-534-8800/010-5234-8955
유니온공인중개사사무소,한명옥,서울특별시 서초구 방배본동 780-17,02-535-8981/010-3435-2258
